1990,
 10-14 ,0
 15-19 ,1.62
 20-24 ,4.19
 25-29 ,4.75
 30-34 ,4.29
 35-39 ,3.59
 40-44 ,2.88
 45-49 ,2.27
 50-54 ,1.74
 55-59 ,1.26
 60-64 ,0.97
 65-69 ,0.9
 70-74 ,0.96
 75-79 ,0.36
 80+ ,0
Total,2.17
2033,
 0-4,0.97
 5-9,0
 10-14 ,0
 15-19 ,1.59
 20-24 ,4.13
 25-29 ,4.65
 30-34 ,4.25
 35-39 ,3.52
 40-44 ,2.83
 45-49 ,2.22
 50-54 ,1.71
 55-59 ,1.26
 60-64 ,0.96
 65-69 ,0.88
 70-74 ,0.95
 75-79 ,0.36
 80+ ,0
Total,2.14
2034,
 0-4,0.93
 5-9,0
 10-14 ,0
 15-19 ,1.56
 20-24 ,4.07
 25-29 ,4.56
 30-34 ,4.21
 35-39 ,3.44
 40-44 ,2.79
 45-49 ,2.16
 50-54 ,1.67
 55-59 ,1.24
 60-64 ,0.95
 65-69 ,0.87
 70-74 ,0.93
 75-79 ,0.35
 80+ ,0
Total,2.1
2035,
 0-4,0.9
 5-9,0
 10-14 ,0
 15-19 ,1.53
 20-24 ,3.98
 25-29 ,4.47
 30-34 ,4.14
 35-39 ,3.38
 40-44 ,2.73
 45-49 ,2.11
 50-54 ,1.63
 55-59 ,1.23
 60-64 ,0.95
 65-69 ,0.85
 70-74 ,0.91
 75-79 ,0.35
 80+ ,0
Total,2.06
2036,
 0-4,0.87
 5-9,0
 10-14 ,0
 15-19 ,1.5
 20-24 ,3.9
 25-29 ,4.38
 30-34 ,4.06
 35-39 ,3.32
 40-44 ,2.67
 45-49 ,2.06
 50-54 ,1.59
 55-59 ,1.21
 60-64 ,0.93
 65-69 ,0.84
 70-74 ,0.89
 75-79 ,0.34
 80+ ,0
Total,2.02
2037,
 0-4,0.84
 5-9,0
 10-14 ,0
 15-19 ,1.47
 20-24 ,3.82
 25-29 ,4.29
 30-34 ,3.97
 35-39 ,3.27
 40-44 ,2.61
 45-49 ,2.02
 50-54 ,1.55
 55-59 ,1.18
 60-64 ,0.92
 65-69 ,0.83
 70-74 ,0.87
 75-79 ,0.33
 80+ ,0
Total,1.98
2038,
 0-4,0.82
 5-9,0
 10-14 ,0
 15-19 ,1.44
 20-24 ,3.72
 25-29 ,4.21
 30-34 ,3.86
 35-39 ,3.23
 40-44 ,2.54
 45-49 ,1.97
 50-54 ,1.5
 55-59 ,1.16
 60-64 ,0.91
 65-69 ,0.82
 70-74 ,0.85
 75-79 ,0.33
 80+ ,0
Total,1.94
2039,
 0-4,0.79
 5-9,0
 10-14 ,0
 15-19 ,1.41
 20-24 ,3.63
 25-29 ,4.12
 30-34 ,3.76
 35-39 ,3.17
 40-44 ,2.47
 45-49 ,1.93
 50-54 ,1.46
 55-59 ,1.13
 60-64 ,0.9
 65-69 ,0.8
 70-74 ,0.83
 75-79 ,0.32
 80+ ,0
Total,1.89
2040,
 0-4,0.77
 5-9,0
 10-14 ,0
 15-19 ,1.37
 20-24 ,3.54
 25-29 ,4.01
 30-34 ,3.66
 35-39 ,3.11
 40-44 ,2.41
 45-49 ,1.88
 50-54 ,1.42
 55-59 ,1.09
 60-64 ,0.88
 65-69 ,0.79
 70-74 ,0.81
 75-79 ,0.31
 80+ ,0
Total,1.84
2041,
 0-4,0.75
 5-9,0
 10-14 ,0
 15-19 ,1.34
 20-24 ,3.45
 25-29 ,3.9
 30-34 ,3.57
 35-39 ,3.03
 40-44 ,2.36
 45-49 ,1.83
 50-54 ,1.37
 55-59 ,1.06
 60-64 ,0.86
 65-69 ,0.78
 70-74 ,0.8
 75-79 ,0.31
 80+ ,0
Total,1.8
2042,
 0-4,0.73
 5-9,0
 10-14 ,0
 15-19 ,1.3
 20-24 ,3.36
 25-29 ,3.79
 30-34 ,3.48
 35-39 ,2.94
 40-44 ,2.31
 45-49 ,1.77
 50-54 ,1.34
 55-59 ,1.03
 60-64 ,0.84
 65-69 ,0.76
 70-74 ,0.78
 75-79 ,0.3
 80+ ,0
Total,1.75
2043,
 0-4,0.71
 5-9,0
 10-14 ,0
 15-19 ,1.27
 20-24 ,3.27
 25-29 ,3.68
 30-34 ,3.4
 35-39 ,2.85
 40-44 ,2.26
 45-49 ,1.72
 50-54 ,1.3
 55-59 ,0.99
 60-64 ,0.82
 65-69 ,0.75
 70-74 ,0.77
 75-79 ,0.29
 80+ ,0
Total,1.7
2044,
 0-4,0.69
 5-9,0
 10-14 ,0
 15-19 ,1.24
 20-24 ,3.19
 25-29 ,3.57
 30-34 ,3.31
 35-39 ,2.76
 40-44 ,2.22
 45-49 ,1.66
 50-54 ,1.27
 55-59 ,0.96
 60-64 ,0.8
 65-69 ,0.74
 70-74 ,0.75
 75-79 ,0.29
 80+ ,0
Total,1.65
2045,
 0-4,0.67
 5-9,0
 10-14 ,0
 15-19 ,1.2
 20-24 ,3.1
 25-29 ,3.47
 30-34 ,3.21
 35-39 ,2.68
 40-44 ,2.16
 45-49 ,1.62
 50-54 ,1.23
 55-59 ,0.93
 60-64 ,0.77
 65-69 ,0.72
 70-74 ,0.74
 75-79 ,0.28
 80+ ,0
Total,1.6
2046,
 0-4,0.65
 5-9,0
 10-14 ,0
 15-19 ,1.17
 20-24 ,3.02
 25-29 ,3.38
 30-34 ,3.12
 35-39 ,2.61
 40-44 ,2.1
 45-49 ,1.58
 50-54 ,1.19
 55-59 ,0.9
 60-64 ,0.75
 65-69 ,0.71
 70-74 ,0.72
 75-79 ,0.27
 80+ ,0
Total,1.55
2047,
 0-4,0.63
 5-9,0
 10-14 ,0
 15-19 ,1.14
 20-24 ,2.93
 25-29 ,3.29
 30-34 ,3.02
 35-39 ,2.54
 40-44 ,2.04
 45-49 ,1.55
 50-54 ,1.15
 55-59 ,0.87
 60-64 ,0.72
 65-69 ,0.69
 70-74 ,0.71
 75-79 ,0.27
 80+ ,0
Total,1.51
2048,
 0-4,0.62
 5-9,0
 10-14 ,0
 15-19 ,1.1
 20-24 ,2.85
 25-29 ,3.2
 30-34 ,2.93
 35-39 ,2.48
 40-44 ,1.97
 45-49 ,1.52
 50-54 ,1.12
 55-59 ,0.85
 60-64 ,0.7
 65-69 ,0.67
 70-74 ,0.7
 75-79 ,0.27
 80+ ,0
Total,1.46
2049,
 0-4,0.6
 5-9,0
 10-14 ,0
 15-19 ,1.07
 20-24 ,2.78
 25-29 ,3.11
 30-34 ,2.85
 35-39 ,2.41
 40-44 ,1.91
 45-49 ,1.48
 50-54 ,1.08
 55-59 ,0.83
 60-64 ,0.68
 65-69 ,0.66
 70-74 ,0.69
 75-79 ,0.26
 80+ ,0
Total,1.42
2050,
 0-4,0.59
 5-9,0
 10-14 ,0
 15-19 ,1.05
 20-24 ,2.71
 25-29 ,3.03
 30-34 ,2.77
 35-39 ,2.34
 40-44 ,1.86
 45-49 ,1.45
 50-54 ,1.05
 55-59 ,0.8
 60-64 ,0.66
 65-69 ,0.64
 70-74 ,0.67
 75-79 ,0.26
 80+ ,0
Total,1.38
